pair,siteplot,trt,PC1.six,PC2.six,date.jul,asma.01,asma.02,asma.03,asma.04,asma.05,asma.06,asma.07,asma.08,asma.09,asma.10,asun.01,asun.02,asun.03,asun.04,asun.05,asun.06,asun.07,asun.08,asun.09,asun.10,rh.avg.p.01,rh.avg.p.02,rh.avg.p.03,rh.avg.p.04,rh.avg.p.05,rh.avg.p.06,rh.avg.p.07,rh.avg.p.08,rh.avg.p.09,rh.avg.p.10,survtm.m.01,survtm.m.02,survtm.m.03,survtm.m.04,survtm.m.05,survtm.m.06,survtm.m.07,survtm.m.08,survtm.m.09,survtm.m.10,tmp.avg.c.01,tmp.avg.c.02,tmp.avg.c.03,tmp.avg.c.04,tmp.avg.c.05,tmp.avg.c.06,tmp.avg.c.07,tmp.avg.c.08,tmp.avg.c.09,tmp.avg.c.10,win.avg.ms.01,win.avg.ms.02,win.avg.ms.03,win.avg.ms.04,win.avg.ms.05,win.avg.ms.06,win.avg.ms.07,win.avg.ms.08,win.avg.ms.09,win.avg.ms.10
1,02040 1 CTL,0,-0.38511539,-0.150420973,166,3,2,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,7.75,6.05,5.7,5.4,5.95,34.7,35.85,35.75,35.9,36.75,12,10,11,12,10,20,21,22,21,20,35.6,37.25,38.2,38.3,38.15,31.9,30.95,29.85,27.85,24.65,0.75,0.65,0.45,0.6,0.75,0.3,0.3,0.3,0.35,0.6
1,02040 1 TRT,1,-0.266902372,-1.298364793,166,7,5,1,3,1,0,2,6,3,5,0,0,0,0,0,0,0,0,0,0,32.2,32.55,31.2,30.65,29.5,9.5,8.65,8.85,9.6,11.6,19,19,20,19,19,15,13,22,23,21,33.1,33.3,34.45,35.2,35.75,33.55,32.15,31.55,30.4,27.85,0.3,0.3,0.3,0.3,0.3,0.55,0.6,0.6,0.4,1.05
2,02054 1 CTL,0,0.737625953,1.792995248,170,2,3,2,0,2,1,2,4,2,0,0,0,0,0,0,0,0,0,0,0,33.35,32.15,33.5,26.4,25,34.6,37.6,37.25,38.6,40.2,13,16,12,10,13,16,17,15,16,19,36.15,36.45,35.7,35.5,36.7,37.7,36.8,35.15,34.35,33.95,0.85,1.05,0.9,1.3,1.5,1.3,1.25,1.4,1.5,1.65
2,02054 1 TRT,1,-0.790137538,-0.433936051,170,0,0,2,1,1,4,0,3,1,1,1,0,0,0,0,0,0,0,0,0,37.45,37,33.3,28.6,26.8,43.05,45.05,46.4,49.6,54.1,13,12,13,12,15,19,20,16,16,22,29.15,30.05,31.7,33.7,34.95,33.65,32.5,31.5,30.55,29.5,1.7,0.3,0.95,1,0.5,1.3,1.2,1.35,1.3,1.55
3,02054 2 CTL,0,-0.426825838,0.723265946,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,22.7,23,23.7,24,24.4,34.05,34,32.3,30.85,29.4,10,9,9,9,9,18,19,20,18,15,35.05,34.85,34.4,33.6,32.7,27.1,28,29.3,30.6,31.65,1.25,1.5,2.1,2.2,1.95,2.15,2.7,2.85,2.75,2
3,02054 2 TRT,1,-0.865957272,0.081260418,187,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,2,1,2,30.65,29.85,27.35,25.85,26.05,28.65,27.95,27.25,26.55,27.55,16,14,13,11,14,14,19,16,12,13,27.15,28.1,29.9,31.1,31.35,32.7,33.65,34.8,35.95,35.9,2.2,2.15,1.65,1.55,2.3,2.55,2.85,2.35,1.5,1.15
4,03012 1 CTL,0,0.626703305,1.08130215,188,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.5,41.4,40,38.7,38.8,38.15,37,35.25,34.2,33.35,12,10,9,11,11,13,15,10,10,12,27.15,27.25,27.95,28.5,28.45,29.05,29.7,30.6,30.65,30.8,1.35,1.95,1.7,1.85,2.7,2.25,2.2,2.3,2.5,2.6
4,03012 1 TRT,1,0.949672024,-1.158387239,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.65,33.95,35.3,37.85,37.85,48.95,45.3,41.9,40.7,38.9,10,9,11,13,10,27,18,16,15,11,32.15,30.9,28.7,28.55,28.55,25.2,26.35,27.35,28.25,29,0.8,1.1,2.1,2.35,2.7,1.25,2.05,2.15,2.35,2.25
5,03015 1 CTL,0,-0.265676231,0.283822541,167,3,2,4,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,8.8,8.15,7.3,7.05,7.15,27.45,26.6,25.7,25.3,24.35,19,14,13,14,12,18,16,16,16,17,32.8,34.15,34.05,34.5,35.75,35.75,35.2,35.2,35.95,36.65,0.2,0.35,0.35,0.35,0.3,1.05,1.25,1.6,1.25,0.75
5,03015 1 TRT,1,-0.005754898,-1.054660629,167,0,0,1,0,0,2,1,4,4,0,0,0,0,0,0,0,0,0,0,0,6.45,6.7,6.55,6.45,7.2,26.65,28.25,27.95,26.75,26.3,13,12,14,16,13,20,20,20,20,18,35.2,36.25,37.75,38.3,38,31.1,31.55,32.4,33.9,34.65,0.75,0.95,0.6,0.3,0.3,0.7,0.3,0.3,0.95,1.35
